기준 일자,정류소 명,정류소 번호,정류소아이디,권역,엑스좌표,위도,와이좌표,경도
2021-07-23,장골해수욕장,44080,170000080,옹진군,,0,,0
2021-07-23,장곶돈대,43932,169000932,강화군,144676,126.3739785,459766,37.63859009
2021-07-23,장곶돈대,43931,169000931,강화군,144702,126.3742747,459744,37.63839346
2021-07-23,장곶횟집,43118,169000118,강화군,145035.8294,126.378113,458996.2971,37.63167726
2021-07-23,장곶횟집,43478,169000478,강화군,145024.339,126.3779831,458992.8372,37.6316454
2021-07-23,장구란,90349,169001349,강화군,138693.2902,126.3055654,467312.1746,37.70619404
2021-07-23,장구란,90354,169001354,강화군,138695.9663,126.3055975,467291.3479,37.70600659
2021-07-23,장기고등학교,80296,232000296,코드정보 없음,170734.4716,126.6691915,460195.217,37.64365806
2021-07-23,장기고등학교,80298,232000298,코드정보 없음,170749.1773,126.6693573,460216.4794,37.6438501
2021-07-23,장기동,41348,167000348,계양구,176501.0943,126.734763,452959.7964,37.5786349
2021-07-23,장기동,41346,167000346,계양구,176425.2494,126.733908,452846.0891,37.57760848
2021-07-23,장기동,41345,167000345,계양구,176414.1666,126.733784,452800.75,37.5771997
2021-07-23,장기동,41347,167000347,계양구,176550.4675,126.7353242,452887.6786,37.5779864
2021-07-23,장기사거리.수정마을,80357,232000357,코드정보 없음,171967.7617,126.6831505,460577.7143,37.64714275
2021-07-23,장기사거리.수정마을,80105,232000105,코드정보 없음,171992.022,126.6834275,460524.4598,37.64666369
2021-07-23,장기상가,80088,232000088,코드정보 없음,170678.3,126.6685387,460602.36,37.64732447
2021-07-23,장기상가,80099,232000099,코드정보 없음,170682.67,126.6685866,460642.4,37.64768535
2021-07-23,장기역.신영아파트,35501,232000554,기타,,0,,0
2021-07-23,장기역.주공아파트,35505,232000553,기타,,0,,0
2021-07-23,장기초등학교,80287,232000287,코드정보 없음,170573.5949,126.6673662,460257.0684,37.64421017
2021-07-23,장단,80112,232000112,코드정보 없음,168189.9363,126.6403038,461505.1766,37.65537551
2021-07-23,장단,80111,232000111,코드정보 없음,168215.2384,126.6405913,461485.9294,37.65520298
2021-07-23,장도초등학교,39127,165000127,남동구,176323.5067,126.7333672,433899.7809,37.40690151
2021-07-23,장도초등학교,39129,165000129,남동구,176408.6434,126.7343303,433851.7761,37.40647116
2021-07-23,장릉입구,80047,232000353,코드정보 없음,175639.8888,126.7248871,456753.0365,37.61278856
2021-07-23,장릉입구,80046,232000345,코드정보 없음,175661.4854,126.7251318,456751.5925,37.61277612
2021-07-23,장미아파트,33004,123000004,코드정보 없음,208850.5934,127.1009047,446353.2032,37.51936964
2021-07-23,장미아파트,33010,123000010,코드정보 없음,208906.6591,127.1015395,446406.2891,37.51984741
2021-07-23,장미아파트,37092,163000092,미추홀구,169643.109,126.6577372,438198.5232,37.44543773
2021-07-23,장미아파트,37044,163000044,미추홀구,169566.7635,126.6568846,437952.398,37.44321765
2021-07-23,장미아파트,37094,163000094,미추홀구,169631.5063,126.6576046,438234.4279,37.44576085
2021-07-23,장미아파트(19동)앞,37540,163000540,미추홀구,169530.5296,126.6564638,438225.2758,37.44567506
2021-07-23,장미아파트(19동)앞,37474,163000474,미추홀구,169508.0961,126.65621,438233.1028,37.44574484
2021-07-23,장봉1리,44029,170000029,옹진군,,0,,0
2021-07-23,장봉4리,44028,170000028,옹진군,,0,,0
2021-07-23,장서초등학교,39966,165000966,남동구,177484.5371,126.7464027,436452.9675,37.42993479
2021-07-23,장서초등학교,39965,165000965,남동구,177490.767,126.7464739,436426.3487,37.42969511
2021-07-23,장성마루,90029,169001029,강화군,137099.2432,126.2868188,475066.3764,37.7759429
2021-07-23,장성마루,90028,169001028,강화군,137080.2432,126.2866043,475053.3764,37.77582448
2021-07-23,장수.서창동주민센터,39221,165000221,남동구,178139.3216,126.7537769,437249.8767,37.43713068
2021-07-23,장수.서창동주민센터,39219,165000219,남동구,178132.2217,126.7536969,437242.7766,37.43706654
2021-07-23,장수.서창동행정복지센터,39581,165000581,남동구,177656.6152,126.7483278,437082.5879,37.43561186
2021-07-23,장수.서창동행정복지센터,39528,165000528,남동구,177607.5324,126.7477721,437118.9914,37.43593866
2021-07-23,장수.서창동행정복지센터,39580,165000580,남동구,177656.9893,126.7483328,437056.6712,37.43537835
2021-07-23,장수IC(미정차),39998,165000998,남동구,178349.5591,126.7560526,440642.63,37.46770427
2021-07-23,장수IC(미정차),92000,165001000,남동구,178397.5591,126.7565953,440638.63,37.46766936
2021-07-23,장수교,39336,165000336,남동구,177500.6983,126.746527,438361.7433,37.44713324
2021-07-23,장수교(서창동입구),39337,165000337,남동구,177555.3045,126.7471447,438339.3569,37.44693287
2021-07-23,장수동,39391,165000391,남동구,177866.8253,126.7506582,438570.1202,37.44901957
2021-07-23,장수동,39393,165000393,남동구,177870.2942,126.7506965,438601.5643,37.44930296
2021-07-23,장수동,39373,165000373,남동구,177746.4942,126.7492995,438531.6595,37.44867015
2021-07-23,장수빌라,39577,165000577,남동구,178124.2857,126.7535621,438761.4565,37.45074965
2021-07-23,장수사거리,39542,165000542,남동구,177774.2028,126.7496079,438687.553,37.45007541
2021-07-23,장수사거리,39397,165000397,남동구,177792.3545,126.749811,438755.8464,37.45069117
