신우편번호,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,경도,위도,업종구분
21412.0,11854252,춘향골공예,,D,소매,D17,예술품/골동품/수석/분재,D17A01,예술품/골동품소매,G47841,예술품 및 골동품 소매업,126.710289739616,37.4835497844352,소매업
21404.0,11825949,그리다,,D,소매,D18,사진/광학/정밀기기소매,D18A03,카메라판매,G47823,사진기 및 사진용품 소매업,126.723337286585,37.4895572235053,소매업
21443.0,11810937,인천열우물쭈꾸미,,Q,음식,Q03,일식/수산물,Q03A13,낙지/오징어,I56111,한식 음식점업,126.699228304721,37.4746164244916,외식업
21356.0,11863345,스피드정보통신..,,D,소매,D18,사진/광학/정밀기기소매,D18A02,핸드폰소매,G47312,통신기기 소매업,126.725662385656,37.5044493393089,소매업
21426.0,11853454,윤선생우리집앞영어교실영어교습,,R,학문/교육,R04,학원-어학,R04A02,학원-어린이영어,P85502,외국어학원,126.733330982852,37.4850064622943,서비스업
21318.0,11864580,돈바위우럭대가리,,Q,음식,Q03,일식/수산물,Q03A02,음식점-일식,I56113,일식 음식점업,126.738497707447,37.5226797972118,외식업
21305.0,11890978,써니공방,,D,소매,D17,예술품/골동품/수석/분재,D17A01,예술품/골동품소매,G47841,예술품 및 골동품 소매업,126.702296272388,37.5175030993733,소매업
21394.0,11891815,부평역토네이도전자담배,,D,소매,D10,건강/미용식품,D10A08,금연관련제품판매,G47216,건강보조식품 소매업,126.723241083598,37.4912230924847,소매업
21305.0,11887237,충남상회,,D,소매,D06,가방/신발/액세서리,D06A07,양품점,G47419,"기타 섬유, 직물 및 의복액세서리 소매업",126.70317440926,37.5131697987272,소매업
21355.0,11947204,대박식당,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,126.728873525362,37.5058354853707,외식업
21361.0,11863799,주언어학원,,R,학문/교육,R04,학원-어학,R04A01,학원-외국어/어학,P85502,외국어학원,126.703805429444,37.5080769130904,서비스업
21450.0,11845077,맛이차이나,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,126.695603721901,37.4743602157123,외식업
21404.0,11893048,넘버.1203,,D,소매,D05,의복의류,D05A01,일반의류,G47416,셔츠 및 기타 의복 소매업,126.723469387605,37.4904326519078,소매업
21394.0,11875691,모리,,D,소매,D05,의복의류,D05A01,일반의류,G47416,셔츠 및 기타 의복 소매업,126.723241083598,37.4912230924847,소매업
21321.0,11978635,카페머그넛12,삼산본점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,126.743690654612,37.5179326682806,외식업
21404.0,11979879,쥬씨부평역사거리점,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,126.72150274579,37.4910421059646,외식업
21421.0,11982963,다미헤어,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,126.73729972199,37.4856796720753,서비스업
21424.0,11980138,쥬스식스커피식스부평,성모병원점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,126.724493827813,37.4860466807081,외식업
21351.0,11974383,카페인아지트,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,126.736276635694,37.5041218730269,외식업
21351.0,11975376,마루소바,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,126.731690766039,37.5057756673823,외식업
21416.0,11983292,이삭토스트,,Q,음식,Q07,패스트푸드,Q07A10,토스트전문,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",126.740233930437,37.4880356649888,외식업
21404.0,11978059,뷰티헤어죤,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,126.721583268548,37.4909618845826,서비스업
